periodo,ano,trimestre,acessos,pib_milhoes_reais,pib_var_pct_real,acessos_var_pct,pib_var_pct_nominal
2017Q4,2017,4,28907867,1720441,0.5,2.3465501002970957,4.355481959317853
2018Q1,2018,1,29730689,1682083,0.6,2.846360127504388,-2.229544634195535
2018Q2,2018,2,30409751,1734099,-0.1,2.2840439385713562,3.0923563224882544
2018Q3,2018,3,30901221,1767856,1.0,1.6161592378707734,1.9466593314453107
2018Q4,2018,4,31233004,1820103,-0.2,1.0736889652353865,2.9553877691395725
2019Q1,2019,1,31816115,1757554,0.3,1.8669705930303815,-3.4365637549083727
2019Q2,2019,2,32381287,1826761,0.6,1.77637024507864,3.9376884010391633
2019Q3,2019,3,32935318,1880610,0.0,1.7109604074723839,2.947785725664165
2019Q4,2019,4,32906998,1924206,0.9,-0.08598672100266214,2.3181839934914628
2020Q1,2020,1,33216768,1868095,-2.3,0.9413499219831589,-2.9160599228980733
2020Q2,2020,2,34319021,1752724,-8.9,3.3183631833175298,-6.1758636471913935
2020Q3,2020,3,35643759,1929323,7.9,3.860069318410919,10.075687900662045
2020Q4,2020,4,36344670,2059455,3.8,1.9664340116316126,6.744956650597134
2021Q1,2021,1,37732481,2156670,0.9,3.818471869465312,4.720423607216473
2021Q2,2021,2,39345594,2203639,-0.7,4.275131020406531,2.1778482568033164
2021Q3,2021,3,40652832,2295851,0.1,3.322450793346765,4.184532947547215
2021Q4,2021,4,41657433,2355982,1.3,2.4711710121449793,2.6191159617936943
2022Q1,2022,1,42768917,2319528,0.7,2.668152884024333,-1.5472953528507416
2022Q2,2022,2,43179191,2517481,1.1,0.9592807786084512,8.53419316343671
2022Q3,2022,3,44174312,2601182,1.1,2.3046309505891482,3.3247917263327986
2022Q4,2022,4,45359471,2641485,0.4,2.6829144503710767,1.5494109985383586
2023Q1,2023,1,46505416,2581018,1.3,2.5263632373490497,-2.289129031586401
2023Q2,2023,2,47110710,2727580,0.8,1.3015559306038593,5.678457104909773
2023Q3,2023,3,47872655,2769445,0.1,1.6173498552664478,1.5348770705167158
2023Q4,2023,4,48616954,2865301,0.4,1.5547476946912608,3.46119890447365
2024Q1,2024,1,49372431,2764833,0.7,1.5539373363456788,-3.5063680918688833
2024Q2,2024,2,50482399,2934759,1.7,2.248153427972799,6.145976990292001
2024Q3,2024,3,52126735,3015936,0.9,3.2572461542487385,2.7660533624737083
2024Q4,2024,4,52545157,3063723,0.1,0.802701339341505,1.5844832251082241
2025Q1,2025,1,53338293,3024723,1.3,1.5094369210848502,-1.272961034662734
2025Q2,2025,2,54180163,3200345,0.3,1.5783594724338101,5.806217627200905
2025Q3,2025,3,54861114,3235708,0.1,1.2568271527717556,1.104974619923782
2025Q4,2025,4,55466489,3277790,0.3,1.1034682963236842,1.300549987823385
2026Q1,2026,1,56476669,3250979,1.1,1.8212438144408205,-0.8179596618453244
